UR	kam.n.man.n	Stress	Max	Ident(voice)	Onset	Agree(voice)	*Complex Onset	*Complex Coda	Align-L	Align-R	*[+consonantal, -voice]	Dep	Nocoda	*CC
	kam.n.mæːn.n	na	0	0	0	0	0	0	0	0	1	0	4!	3
	kam.nɨʔ.ma.nɨn	na	0	0	0	1!	0	0	0	0	2	3	3	2
	x+am.n.man.n	na	0	0	0	0	0	0	1!	0	1	0	4	3
	kam.nɘ.ma.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	kam.nɨ.mæ.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	kəːm.nɨ.ma.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	kam.nɨ.ma.nɨŋ	na	0	0	0	0	0	0	0	1!	1	2	2	1
	kam.nɨ.ma.nɯːn	na	0	0	0	0	0	0	0	0	1	2	2	1
	kam.nɨ.ba.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	q͡χam.nɨ.ma.nɨn	na	0	0	0	0	0	0	1!	0	1	2	2	1
	pam.n.man.n	na	0	0	0	0	0	0	1!	0	1	0	4	3
	ʔkam.n.man.n	na	0	0	0	0	1!	0	1	0	2	1	4	4
	kaɱ.nɨ.ma.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	kam.nɨ.ma.nɯn	na	0	0	0	0	0	0	0	0	1	2	2	1
	g͡bam.n.man.n	na	0	1!	0	0	0	0	1	0	0	0	4	3
	kam.n.man.ən	na	0	0	1!	0	0	0	0	0	1	1	4	2
	kam.nɨ.əma.nɨn	na	0	0	1!	0	0	0	0	0	1	3	2	1
	əkam.nɨ.ma.nɨn	na	0	0	1!	0	0	0	1	0	1	3	2	1
	k͡pam.n.man.n	na	0	0	0	0	0	0	1!	0	1	0	4	3
